NCR ID,Entity Name,Regional Compliance Enforcement Authority,BA,DP,GO Category 1,GO Category 2,GOP Category 1,GOP Category 2,PCPA,RC,RP,RSG,TO,TOP,TP,TSP,DPUF,FRSG,RRSG
NCR12497,RES Energy Services - Crossett,SERC,,,,,GOP-1,,,,,,,,,,,,
NCR13443,"Richland Township Solar II, LLC",SERC,,,,GO-2,,,,,,,,,,,,,
NCR13442,"Richland Township Solar, LLC",SERC,,,,GO-2,,,,,,,,,,,,,
NCR13170,"Ridgely Energy Farm, LLC",SERC,,,GO-1,,,,,,,,,,,,,,
NCR12429,River Ferry Solar I LLC,SERC,,,GO-1,,GOP-1,,,,,,,,,,,,
NCR13008,"Russellville Solar, LLC",SERC,,,GO-1,,,,,,,,,,,,,,
NCR12482,"RWE Americas, LLC",SERC,,,GO-1,,GOP-1,,,,,,,,,,,,
NCR01305,Sabine River Authority of TX/LA,SERC,,,GO-1,,GOP-1,,,,,,,,,,,,
NCR13444,"Salt Creek Township Solar, LLC",SERC,,,,GO-2,,,,,,,,,,,,,
NCR13373,Sam Houston Electric Cooperative Inc.,SERC,,DP,,,,,,,,,TO,,TP,,,,
NCR11483,"Santa Rosa Energy Center, LLC",SERC,,,GO-1,,GOP-1,,,,,,,,,,,,
NCR12296,Sapphire Sky Wind Energy LLC,SERC,,,GO-1,,GOP-1,,,,,,,,,,,,
NCR12194,"Searcy Solar, LLC",SERC,,,GO-1,,GOP-1,,,,,,,,,,,,
NCR13431,"Selmer Farm, LLC",SERC,,,,GO-2,,,,,,,,,,,,,
NCR00068,Seminole Electric Cooperative,SERC,BA,DP,GO-1,,GOP-1,,PCPA,,RP,,TO,TOP,TP,TSP,,,
NCR11629,"Shelby County Energy Center, LLC",SERC,,,GO-1,,GOP-1,,,,,,,,,,,,
NCR13465,"Shoe Creek Solar, LLC",SERC,,,,GO-2,,,,,,,,,,,,,
NCR12178,"Siemens Energy, Inc. - PEC",SERC,,,,,GOP-1,,,,,,,,,,,,
NCR01142,Sikeston Board Of Municipal Utilities,SERC,,DP,GO-1,,GOP-1,,,,,,TO,,,TSP,,,
NCR13291,"Simon Solar Farm, LLC",SERC,,,,GO-2,,,,,,,,,,,,,
NCR11305,Smoky Mountain Transmission LLC,SERC,,,,,,,,,,,TO,,,,,,
NCR11685,"SOLV Energy, LLC",SERC,,,,,GOP-1,,,,,,,,,,,,
NCR13397,"Sonny Solar, LLC",SERC,,,,GO-2,,,,,,,,,,,,,
NCR11367,South Boston Energy LLC,SERC,,,GO-1,,,,,,,,,,,,,,
NCR01312,South Carolina Public Service Authority,SERC,BA,DP,GO-1,,GOP-1,,PCPA,,RP,,TO,TOP,TP,TSP,,,
NCR00070,Southeastern Power Administration,SERC,BA,,,,,,,,,,,TOP,,,,,
NCR01319,"Southern Company Services, Inc. - Gen",SERC,,,,,GOP-1,GOP-2,,,RP,,,,,,,,
NCR01320,"Southern Company Services, Inc. - Trans",SERC,BA,,,,,,PCPA,RC,,,,TOP,TP,TSP,,,
NCR01321,Southern Illinois Power Cooperative,SERC,BA,DP,GO-1,,GOP-1,,,,RP,,TO,TOP,TP,,,,
NCR01322,Southern Power Company,SERC,,,GO-1,GO-2,,,,,RP,,,,,,,,
NCR10328,Southwest Louisiana Electric Membership Corporation,SERC,,DP,,,,,,,,,TO,,TP,,,,
NCR01324,"Southwestern Electric Cooperative, Inc.",SERC,,DP,,,,,,,,,,,,,,,
NCR01325,SOWEGA Power LLC,SERC,,,GO-1,,GOP-1,,,,,,,,,,,,
